BFS_NR_GEMEINDE;GEMEINDE_NAME;BEZIRK_NR;BEZIRK_NAME;JAHR;GESCHLECHT_CODE;GESCHLECHT_BEZEICHNUNG;NATIONALITAET_CODE;NATIONALITAET_BEZEICHNUNG;ANZAHL_PERSONEN;MALE;FEMALE;SWISS;NOTSWISS
4511;Zihlschlacht-Sitterdorf;2015;Bezirk Weinfelden;2019;1;Männlich;1;Schweiz;1088;1266;1170;2109;327
4511;Zihlschlacht-Sitterdorf;2015;Bezirk Weinfelden;2019;1;Männlich;2;Ausland;178; ;;;
4511;Zihlschlacht-Sitterdorf;2015;Bezirk Weinfelden;2019;2;Weiblich;1;Schweiz;1021;;;;
4511;Zihlschlacht-Sitterdorf;2015;Bezirk Weinfelden;2019;2;Weiblich;2;Ausland;149;;;;
4536;Basadingen-Schlattingen;2012;Bezirk Frauenfeld;2019;1;Männlich;1;Schweiz;799;935;893;1558;270
4536;Basadingen-Schlattingen;2012;Bezirk Frauenfeld;2019;1;Männlich;2;Ausland;136; ;;;
4536;Basadingen-Schlattingen;2012;Bezirk Frauenfeld;2019;2;Weiblich;1;Schweiz;759;;;;
4536;Basadingen-Schlattingen;2012;Bezirk Frauenfeld;2019;2;Weiblich;2;Ausland;134;;;;
4545;Diessenhofen;2012;Bezirk Frauenfeld;2019;1;Männlich;1;Schweiz;1273;2054;1975;2588;1441
4545;Diessenhofen;2012;Bezirk Frauenfeld;2019;1;Männlich;2;Ausland;781; ;;;
4545;Diessenhofen;2012;Bezirk Frauenfeld;2019;2;Weiblich;1;Schweiz;1315;;;;
4545;Diessenhofen;2012;Bezirk Frauenfeld;2019;2;Weiblich;2;Ausland;660;;;;
4546;Schlatt;2012;Bezirk Frauenfeld;2019;1;Männlich;1;Schweiz;749;870;901;1544;227
4546;Schlatt;2012;Bezirk Frauenfeld;2019;1;Männlich;2;Ausland;121; ;;;
4546;Schlatt;2012;Bezirk Frauenfeld;2019;2;Weiblich;1;Schweiz;795;;;;
4546;Schlatt;2012;Bezirk Frauenfeld;2019;2;Weiblich;2;Ausland;106;;;;
4551;Aadorf;2014;Bezirk Münchwilen;2019;1;Männlich;1;Schweiz;3778;4538;4490;7621;1407
4551;Aadorf;2014;Bezirk Münchwilen;2019;1;Männlich;2;Ausland;760; ;;;
4551;Aadorf;2014;Bezirk Münchwilen;2019;2;Weiblich;1;Schweiz;3843;;;;
4551;Aadorf;2014;Bezirk Münchwilen;2019;2;Weiblich;2;Ausland;647;;;;
4561;Felben-Wellhausen;2012;Bezirk Frauenfeld;2019;1;Männlich;1;Schweiz;1151;1489;1369;2269;589
4561;Felben-Wellhausen;2012;Bezirk Frauenfeld;2019;1;Männlich;2;Ausland;338; ;;;
4561;Felben-Wellhausen;2012;Bezirk Frauenfeld;2019;2;Weiblich;1;Schweiz;1118;;;;
4561;Felben-Wellhausen;2012;Bezirk Frauenfeld;2019;2;Weiblich;2;Ausland;251;;;;
4566;Frauenfeld;2012;Bezirk Frauenfeld;2019;1;Männlich;1;Schweiz;9334;12577;13045;19493;6129
4566;Frauenfeld;2012;Bezirk Frauenfeld;2019;1;Männlich;2;Ausland;3243; ;;;
4566;Frauenfeld;2012;Bezirk Frauenfeld;2019;2;Weiblich;1;Schweiz;10159;;;;
4566;Frauenfeld;2012;Bezirk Frauenfeld;2019;2;Weiblich;2;Ausland;2886;;;;
4571;Gachnang;2012;Bezirk Frauenfeld;2019;1;Männlich;1;Schweiz;1891;2260;2183;3789;654
4571;Gachnang;2012;Bezirk Frauenfeld;2019;1;Männlich;2;Ausland;369; ;;;
4571;Gachnang;2012;Bezirk Frauenfeld;2019;2;Weiblich;1;Schweiz;1898;;;;
4571;Gachnang;2012;Bezirk Frauenfeld;2019;2;Weiblich;2;Ausland;285;;;;
4590;Hüttlingen;2012;Bezirk Frauenfeld;2019;1;Männlich;1;Schweiz;399;441;399;758;82
4590;Hüttlingen;2012;Bezirk Frauenfeld;2019;1;Männlich;2;Ausland;42; ;;;
4590;Hüttlingen;2012;Bezirk Frauenfeld;2019;2;Weiblich;1;Schweiz;359;;;;
4590;Hüttlingen;2012;Bezirk Frauenfeld;2019;2;Weiblich;2;Ausland;40;;;;
4591;Matzingen;2012;Bezirk Frauenfeld;2019;1;Männlich;1;Schweiz;1068;1514;1444;2165;793
4591;Matzingen;2012;Bezirk Frauenfeld;2019;1;Männlich;2;Ausland;446; ;;;
4591;Matzingen;2012;Bezirk Frauenfeld;2019;2;Weiblich;1;Schweiz;1097;;;;
4591;Matzingen;2012;Bezirk Frauenfeld;2019;2;Weiblich;2;Ausland;347;;;;
4601;Neunforn;2012;Bezirk Frauenfeld;2019;1;Männlich;1;Schweiz;505;539;501;974;66
4601;Neunforn;2012;Bezirk Frauenfeld;2019;1;Männlich;2;Ausland;34; ;;;
4601;Neunforn;2012;Bezirk Frauenfeld;2019;2;Weiblich;1;Schweiz;469;;;;
4601;Neunforn;2012;Bezirk Frauenfeld;2019;2;Weiblich;2;Ausland;32;;;;
4606;Stettfurt;2012;Bezirk Frauenfeld;2019;1;Männlich;1;Schweiz;554;607;621;1126;102
4606;Stettfurt;2012;Bezirk Frauenfeld;2019;1;Männlich;2;Ausland;53; ;;;
4606;Stettfurt;2012;Bezirk Frauenfeld;2019;2;Weiblich;1;Schweiz;572;;;;
4606;Stettfurt;2012;Bezirk Frauenfeld;2019;2;Weiblich;2;Ausland;49;;;;
4611;Thundorf;2012;Bezirk Frauenfeld;2019;1;Männlich;1;Schweiz;710;776;710;1373;113
4611;Thundorf;2012;Bezirk Frauenfeld;2019;1;Männlich;2;Ausland;66; ;;;
4611;Thundorf;2012;Bezirk Frauenfeld;2019;2;Weiblich;1;Schweiz;663;;;;
4611;Thundorf;2012;Bezirk Frauenfeld;2019;2;Weiblich;2;Ausland;47;;;;
4616;Uesslingen-Buch;2012;Bezirk Frauenfeld;2019;1;Männlich;1;Schweiz;481;540;538;981;97
4616;Uesslingen-Buch;2012;Bezirk Frauenfeld;2019;1;Männlich;2;Ausland;59; ;;;
4616;Uesslingen-Buch;2012;Bezirk Frauenfeld;2019;2;Weiblich;1;Schweiz;500;;;;
4616;Uesslingen-Buch;2012;Bezirk Frauenfeld;2019;2;Weiblich;2;Ausland;38;;;;
4621;Warth-Weiningen;2012;Bezirk Frauenfeld;2019;1;Männlich;1;Schweiz;589;674;660;1178;156
4621;Warth-Weiningen;2012;Bezirk Frauenfeld;2019;1;Männlich;2;Ausland;85; ;;;
4621;Warth-Weiningen;2012;Bezirk Frauenfeld;2019;2;Weiblich;1;Schweiz;589;;;;
4621;Warth-Weiningen;2012;Bezirk Frauenfeld;2019;2;Weiblich;2;Ausland;71;;;;
4641;Altnau;2013;Bezirk Kreuzlingen;2019;1;Männlich;1;Schweiz;865;1106;1174;1796;484
4641;Altnau;2013;Bezirk Kreuzlingen;2019;1;Männlich;2;Ausland;241; ;;;
4641;Altnau;2013;Bezirk Kreuzlingen;2019;2;Weiblich;1;Schweiz;931;;;;
4641;Altnau;2013;Bezirk Kreuzlingen;2019;2;Weiblich;2;Ausland;243;;;;
4643;Bottighofen;2013;Bezirk Kreuzlingen;2019;1;Männlich;1;Schweiz;756;1153;1142;1524;771
4643;Bottighofen;2013;Bezirk Kreuzlingen;2019;1;Männlich;2;Ausland;397; ;;;
4643;Bottighofen;2013;Bezirk Kreuzlingen;2019;2;Weiblich;1;Schweiz;768;;;;
4643;Bottighofen;2013;Bezirk Kreuzlingen;2019;2;Weiblich;2;Ausland;374;;;;
4646;Ermatingen;2013;Bezirk Kreuzlingen;2019;1;Männlich;1;Schweiz;1153;1755;1766;2401;1120
4646;Ermatingen;2013;Bezirk Kreuzlingen;2019;1;Männlich;2;Ausland;602; ;;;
4646;Ermatingen;2013;Bezirk Kreuzlingen;2019;2;Weiblich;1;Schweiz;1248;;;;
4646;Ermatingen;2013;Bezirk Kreuzlingen;2019;2;Weiblich;2;Ausland;518;;;;
4651;Gottlieben;2013;Bezirk Kreuzlingen;2019;1;Männlich;1;Schweiz;92;163;168;197;134
4651;Gottlieben;2013;Bezirk Kreuzlingen;2019;1;Männlich;2;Ausland;71; ;;;
4651;Gottlieben;2013;Bezirk Kreuzlingen;2019;2;Weiblich;1;Schweiz;105;;;;
4651;Gottlieben;2013;Bezirk Kreuzlingen;2019;2;Weiblich;2;Ausland;63;;;;
4656;Güttingen;2013;Bezirk Kreuzlingen;2019;1;Männlich;1;Schweiz;661;848;808;1312;344
4656;Güttingen;2013;Bezirk Kreuzlingen;2019;1;Männlich;2;Ausland;187; ;;;
4656;Güttingen;2013;Bezirk Kreuzlingen;2019;2;Weiblich;1;Schweiz;651;;;;
4656;Güttingen;2013;Bezirk Kreuzlingen;2019;2;Weiblich;2;Ausland;157;;;;
4666;Kemmental;2013;Bezirk Kreuzlingen;2019;1;Männlich;1;Schweiz;1070;1330;1261;2107;484
4666;Kemmental;2013;Bezirk Kreuzlingen;2019;1;Männlich;2;Ausland;260; ;;;
4666;Kemmental;2013;Bezirk Kreuzlingen;2019;2;Weiblich;1;Schweiz;1037;;;;
4666;Kemmental;2013;Bezirk Kreuzlingen;2019;2;Weiblich;2;Ausland;224;;;;
4671;Kreuzlingen;2013;Bezirk Kreuzlingen;2019;1;Männlich;1;Schweiz;4723;11127;11066;10027;12166
4671;Kreuzlingen;2013;Bezirk Kreuzlingen;2019;1;Männlich;2;Ausland;6404; ;;;
4671;Kreuzlingen;2013;Bezirk Kreuzlingen;2019;2;Weiblich;1;Schweiz;5304;;;;
4671;Kreuzlingen;2013;Bezirk Kreuzlingen;2019;2;Weiblich;2;Ausland;5762;;;;
4681;Langrickenbach;2013;Bezirk Kreuzlingen;2019;1;Männlich;1;Schweiz;546;659;615;1056;218
4681;Langrickenbach;2013;Bezirk Kreuzlingen;2019;1;Männlich;2;Ausland;113; ;;;
4681;Langrickenbach;2013;Bezirk Kreuzlingen;2019;2;Weiblich;1;Schweiz;510;;;;
4681;Langrickenbach;2013;Bezirk Kreuzlingen;2019;2;Weiblich;2;Ausland;105;;;;
4683;Lengwil;2013;Bezirk Kreuzlingen;2019;1;Männlich;1;Schweiz;618;860;878;1260;478
4683;Lengwil;2013;Bezirk Kreuzlingen;2019;1;Männlich;2;Ausland;242; ;;;
4683;Lengwil;2013;Bezirk Kreuzlingen;2019;2;Weiblich;1;Schweiz;642;;;;
4683;Lengwil;2013;Bezirk Kreuzlingen;2019;2;Weiblich;2;Ausland;236;;;;
4691;Münsterlingen;2013;Bezirk Kreuzlingen;2019;1;Männlich;1;Schweiz;1055;1730;1765;2200;1295
4691;Münsterlingen;2013;Bezirk Kreuzlingen;2019;1;Männlich;2;Ausland;675; ;;;
4691;Münsterlingen;2013;Bezirk Kreuzlingen;2019;2;Weiblich;1;Schweiz;1145;;;;
4691;Münsterlingen;2013;Bezirk Kreuzlingen;2019;2;Weiblich;2;Ausland;620;;;;
4696;Tägerwilen;2013;Bezirk Kreuzlingen;2019;1;Männlich;1;Schweiz;1474;2374;2391;3006;1759
4696;Tägerwilen;2013;Bezirk Kreuzlingen;2019;1;Männlich;2;Ausland;900; ;;;
4696;Tägerwilen;2013;Bezirk Kreuzlingen;2019;2;Weiblich;1;Schweiz;1532;;;;
4696;Tägerwilen;2013;Bezirk Kreuzlingen;2019;2;Weiblich;2;Ausland;859;;;;
4701;Wäldi;2013;Bezirk Kreuzlingen;2019;1;Männlich;1;Schweiz;432;536;513;852;197
4701;Wäldi;2013;Bezirk Kreuzlingen;2019;1;Männlich;2;Ausland;104; ;;;
4701;Wäldi;2013;Bezirk Kreuzlingen;2019;2;Weiblich;1;Schweiz;420;;;;
4701;Wäldi;2013;Bezirk Kreuzlingen;2019;2;Weiblich;2;Ausland;93;;;;
4711;Affeltrangen;2015;Bezirk Weinfelden;2019;1;Männlich;1;Schweiz;1122;1362;1241;2188;415
4711;Affeltrangen;2015;Bezirk Weinfelden;2019;1;Männlich;2;Ausland;240; ;;;
4711;Affeltrangen;2015;Bezirk Weinfelden;2019;2;Weiblich;1;Schweiz;1066;;;;
4711;Affeltrangen;2015;Bezirk Weinfelden;2019;2;Weiblich;2;Ausland;175;;;;
4716;Bettwiesen;2014;Bezirk Münchwilen;2019;1;Männlich;1;Schweiz;486;641;582;945;278
4716;Bettwiesen;2014;Bezirk Münchwilen;2019;1;Männlich;2;Ausland;155; ;;;
4716;Bettwiesen;2014;Bezirk Münchwilen;2019;2;Weiblich;1;Schweiz;459;;;;
4716;Bettwiesen;2014;Bezirk Münchwilen;2019;2;Weiblich;2;Ausland;123;;;;
4721;Bichelsee-Balterswil;2014;Bezirk Münchwilen;2019;1;Männlich;1;Schweiz;1313;1492;1381;2556;317
4721;Bichelsee-Balterswil;2014;Bezirk Münchwilen;2019;1;Männlich;2;Ausland;179; ;;;
4721;Bichelsee-Balterswil;2014;Bezirk Münchwilen;2019;2;Weiblich;1;Schweiz;1243;;;;
4721;Bichelsee-Balterswil;2014;Bezirk Münchwilen;2019;2;Weiblich;2;Ausland;138;;;;
4723;Braunau;2014;Bezirk Münchwilen;2019;1;Männlich;1;Schweiz;372;413;401;739;75
4723;Braunau;2014;Bezirk Münchwilen;2019;1;Männlich;2;Ausland;41; ;;;
4723;Braunau;2014;Bezirk Münchwilen;2019;2;Weiblich;1;Schweiz;367;;;;
4723;Braunau;2014;Bezirk Münchwilen;2019;2;Weiblich;2;Ausland;34;;;;
4724;Eschlikon;2014;Bezirk Münchwilen;2019;1;Männlich;1;Schweiz;1931;2269;2195;3829;635
4724;Eschlikon;2014;Bezirk Münchwilen;2019;1;Männlich;2;Ausland;338; ;;;
4724;Eschlikon;2014;Bezirk Münchwilen;2019;2;Weiblich;1;Schweiz;1898;;;;
4724;Eschlikon;2014;Bezirk Münchwilen;2019;2;Weiblich;2;Ausland;297;;;;
4726;Fischingen;2014;Bezirk Münchwilen;2019;1;Männlich;1;Schweiz;1286;1402;1390;2569;223
4726;Fischingen;2014;Bezirk Münchwilen;2019;1;Männlich;2;Ausland;116; ;;;
4726;Fischingen;2014;Bezirk Münchwilen;2019;2;Weiblich;1;Schweiz;1283;;;;
4726;Fischingen;2014;Bezirk Münchwilen;2019;2;Weiblich;2;Ausland;107;;;;
4741;Lommis;2014;Bezirk Münchwilen;2019;1;Männlich;1;Schweiz;524;609;599;1061;147
4741;Lommis;2014;Bezirk Münchwilen;2019;1;Männlich;2;Ausland;85; ;;;
4741;Lommis;2014;Bezirk Münchwilen;2019;2;Weiblich;1;Schweiz;537;;;;
4741;Lommis;2014;Bezirk Münchwilen;2019;2;Weiblich;2;Ausland;62;;;;
4746;Münchwilen;2014;Bezirk Münchwilen;2019;1;Männlich;1;Schweiz;2181;2824;2843;4486;1181
4746;Münchwilen;2014;Bezirk Münchwilen;2019;1;Männlich;2;Ausland;643; ;;;
4746;Münchwilen;2014;Bezirk Münchwilen;2019;2;Weiblich;1;Schweiz;2305;;;;
4746;Münchwilen;2014;Bezirk Münchwilen;2019;2;Weiblich;2;Ausland;538;;;;
4751;Rickenbach;2014;Bezirk Münchwilen;2019;1;Männlich;1;Schweiz;842;1398;1400;1759;1039
4751;Rickenbach;2014;Bezirk Münchwilen;2019;1;Männlich;2;Ausland;556; ;;;
4751;Rickenbach;2014;Bezirk Münchwilen;2019;2;Weiblich;1;Schweiz;917;;;;
4751;Rickenbach;2014;Bezirk Münchwilen;2019;2;Weiblich;2;Ausland;483;;;;
4756;Schönholzerswilen;2015;Bezirk Weinfelden;2019;1;Männlich;1;Schweiz;404;440;406;783;63
4756;Schönholzerswilen;2015;Bezirk Weinfelden;2019;1;Männlich;2;Ausland;36; ;;;
4756;Schönholzerswilen;2015;Bezirk Weinfelden;2019;2;Weiblich;1;Schweiz;379;;;;
4756;Schönholzerswilen;2015;Bezirk Weinfelden;2019;2;Weiblich;2;Ausland;27;;;;
4761;Sirnach;2014;Bezirk Münchwilen;2019;1;Männlich;1;Schweiz;2913;3937;3846;5895;1888
4761;Sirnach;2014;Bezirk Münchwilen;2019;1;Männlich;2;Ausland;1024; ;;;
4761;Sirnach;2014;Bezirk Münchwilen;2019;2;Weiblich;1;Schweiz;2982;;;;
4761;Sirnach;2014;Bezirk Münchwilen;2019;2;Weiblich;2;Ausland;864;;;;
4776;Tobel-Tägerschen;2014;Bezirk Münchwilen;2019;1;Männlich;1;Schweiz;670;811;790;1338;263
4776;Tobel-Tägerschen;2014;Bezirk Münchwilen;2019;1;Männlich;2;Ausland;141; ;;;
4776;Tobel-Tägerschen;2014;Bezirk Münchwilen;2019;2;Weiblich;1;Schweiz;668;;;;
4776;Tobel-Tägerschen;2014;Bezirk Münchwilen;2019;2;Weiblich;2;Ausland;122;;;;
4781;Wängi;2014;Bezirk Münchwilen;2019;1;Männlich;1;Schweiz;2092;2451;2291;4052;690
4781;Wängi;2014;Bezirk Münchwilen;2019;1;Männlich;2;Ausland;359; ;;;
4781;Wängi;2014;Bezirk Münchwilen;2019;2;Weiblich;1;Schweiz;1960;;;;
4781;Wängi;2014;Bezirk Münchwilen;2019;2;Weiblich;2;Ausland;331;;;;
4786;Wilen;2014;Bezirk Münchwilen;2019;1;Männlich;1;Schweiz;1099;1276;1239;2193;322
4786;Wilen;2014;Bezirk Münchwilen;2019;1;Männlich;2;Ausland;177; ;;;
4786;Wilen;2014;Bezirk Münchwilen;2019;2;Weiblich;1;Schweiz;1094;;;;
4786;Wilen;2014;Bezirk Münchwilen;2019;2;Weiblich;2;Ausland;145;;;;
4791;Wuppenau;2015;Bezirk Weinfelden;2019;1;Männlich;1;Schweiz;522;566;552;1040;78
4791;Wuppenau;2015;Bezirk Weinfelden;2019;1;Männlich;2;Ausland;44; ;;;
4791;Wuppenau;2015;Bezirk Weinfelden;2019;2;Weiblich;1;Schweiz;518;;;;
4791;Wuppenau;2015;Bezirk Weinfelden;2019;2;Weiblich;2;Ausland;34;;;;
4801;Berlingen;2012;Bezirk Frauenfeld;2019;1;Männlich;1;Schweiz;322;446;448;670;224
4801;Berlingen;2012;Bezirk Frauenfeld;2019;1;Männlich;2;Ausland;124; ;;;
4801;Berlingen;2012;Bezirk Frauenfeld;2019;2;Weiblich;1;Schweiz;348;;;;
4801;Berlingen;2012;Bezirk Frauenfeld;2019;2;Weiblich;2;Ausland;100;;;;
4806;Eschenz;2012;Bezirk Frauenfeld;2019;1;Männlich;1;Schweiz;732;934;899;1472;361
4806;Eschenz;2012;Bezirk Frauenfeld;2019;1;Männlich;2;Ausland;202; ;;;
4806;Eschenz;2012;Bezirk Frauenfeld;2019;2;Weiblich;1;Schweiz;740;;;;
4806;Eschenz;2012;Bezirk Frauenfeld;2019;2;Weiblich;2;Ausland;159;;;;
4811;Herdern;2012;Bezirk Frauenfeld;2019;1;Männlich;1;Schweiz;506;574;537;996;115
4811;Herdern;2012;Bezirk Frauenfeld;2019;1;Männlich;2;Ausland;68; ;;;
4811;Herdern;2012;Bezirk Frauenfeld;2019;2;Weiblich;1;Schweiz;490;;;;
4811;Herdern;2012;Bezirk Frauenfeld;2019;2;Weiblich;2;Ausland;47;;;;
4816;Homburg;2012;Bezirk Frauenfeld;2019;1;Männlich;1;Schweiz;683;753;788;1414;127
4816;Homburg;2012;Bezirk Frauenfeld;2019;1;Männlich;2;Ausland;70; ;;;
4816;Homburg;2012;Bezirk Frauenfeld;2019;2;Weiblich;1;Schweiz;731;;;;
4816;Homburg;2012;Bezirk Frauenfeld;2019;2;Weiblich;2;Ausland;57;;;;
4821;Hüttwilen;2012;Bezirk Frauenfeld;2019;1;Männlich;1;Schweiz;792;891;878;1577;192
4821;Hüttwilen;2012;Bezirk Frauenfeld;2019;1;Männlich;2;Ausland;99; ;;;
4821;Hüttwilen;2012;Bezirk Frauenfeld;2019;2;Weiblich;1;Schweiz;785;;;;
4821;Hüttwilen;2012;Bezirk Frauenfeld;2019;2;Weiblich;2;Ausland;93;;;;
4826;Mammern;2012;Bezirk Frauenfeld;2019;1;Männlich;1;Schweiz;234;325;333;479;179
4826;Mammern;2012;Bezirk Frauenfeld;2019;1;Männlich;2;Ausland;91; ;;;
4826;Mammern;2012;Bezirk Frauenfeld;2019;2;Weiblich;1;Schweiz;245;;;;
4826;Mammern;2012;Bezirk Frauenfeld;2019;2;Weiblich;2;Ausland;88;;;;
4831;Müllheim;2012;Bezirk Frauenfeld;2019;1;Männlich;1;Schweiz;1225;1517;1478;2478;517
